,Phase,Model,Estimated ATE,n_covariates,elapsed_time
87,Train,BICauseTree(Marginal),0.008952668724928087,75,6.2951601386070255
88,Test,BICauseTree(Marginal),0.01088253081531651,75,6.2951601386070255
89,Train,BICauseTree(Marginal),0.013121084377569925,75,6.2951601386070255
90,Test,BICauseTree(Marginal),0.010104535107850726,75,6.2951601386070255
91,Train,BICauseTree(Marginal),0.012798036318975137,75,6.2951601386070255
92,Test,BICauseTree(Marginal),0.0009725735467229768,75,6.2951601386070255
93,Train,BICauseTree(Marginal),0.018187999896189216,75,6.2951601386070255
94,Test,BICauseTree(Marginal),0.023500833185991138,75,6.2951601386070255
95,Train,BICauseTree(Marginal),0.0019075269241614623,75,6.2951601386070255
96,Test,BICauseTree(Marginal),0.016720189094473092,75,6.2951601386070255
97,Train,BICauseTree(Marginal),0.012377580275873573,75,6.2951601386070255
98,Test,BICauseTree(Marginal),0.0041594029990317805,75,6.2951601386070255
99,Train,BICauseTree(Marginal),0.016286913063523395,75,6.2951601386070255
100,Test,BICauseTree(Marginal),0.00731995243437128,100,7.7739169836044315
101,Train,BICauseTree(Marginal),0.019064035427829695,100,7.7739169836044315
102,Test,BICauseTree(Marginal),0.01767657569903483,100,7.7739169836044315
103,Train,BICauseTree(Marginal),0.005541805447856901,100,7.7739169836044315
104,Test,BICauseTree(Marginal),0.005670107139378988,100,7.7739169836044315
105,Train,BICauseTree(Marginal),0.01622266849015866,100,7.7739169836044315
106,Test,BICauseTree(Marginal),0.014281040858565908,100,7.7739169836044315
107,Train,BICauseTree(Marginal),0.005656407837825228,100,7.7739169836044315
108,Test,BICauseTree(Marginal),0.01730397886923407,100,7.7739169836044315
109,Train,BICauseTree(Marginal),0.00870414912340195,100,7.7739169836044315
110,Test,BICauseTree(Marginal),0.012263733644637037,100,7.7739169836044315
111,Train,BICauseTree(Marginal),0.010891795252962577,100,7.7739169836044315
112,Test,BICauseTree(Marginal),0.0015557280256567885,100,7.7739169836044315
113,Train,BICauseTree(Marginal),0.020761914806775833,100,7.7739169836044315
114,Test,BICauseTree(Marginal),0.022132758912472295,100,7.7739169836044315
115,Train,BICauseTree(Marginal),0.0017333398483865559,100,7.7739169836044315
116,Test,BICauseTree(Marginal),0.007247543108890336,100,7.7739169836044315
117,Train,BICauseTree(Marginal),0.011023503650014671,100,7.7739169836044315
118,Test,BICauseTree(Marginal),0.008002840451590304,100,7.7739169836044315
119,Train,BICauseTree(Marginal),0.013969162204248459,100,7.7739169836044315
120,Test,BICauseTree(Marginal),0.0099398275512248,200,9.373784430821736
121,Train,BICauseTree(Marginal),0.0198939320666586,200,9.373784430821736
122,Test,BICauseTree(Marginal),0.008121608112544393,200,9.373784430821736
123,Train,BICauseTree(Marginal),0.011217075506346041,200,9.373784430821736
124,Test,BICauseTree(Marginal),0.0005854889407014285,200,9.373784430821736
125,Train,BICauseTree(Marginal),0.015234558933088699,200,9.373784430821736
126,Test,BICauseTree(Marginal),0.012314658952864238,200,9.373784430821736
127,Train,BICauseTree(Marginal),0.00913449536753494,200,9.373784430821736
128,Test,BICauseTree(Marginal),0.015463860761861598,200,9.373784430821736
129,Train,BICauseTree(Marginal),0.005146811874687324,200,9.373784430821736
130,Test,BICauseTree(Marginal),0.01116937385937361,200,9.373784430821736
131,Train,BICauseTree(Marginal),0.012689033793219562,200,9.373784430821736
132,Test,BICauseTree(Marginal),0.007477852032198251,200,9.373784430821736
133,Train,BICauseTree(Marginal),0.01590818358697932,200,9.373784430821736
134,Test,BICauseTree(Marginal),0.024382009059389698,200,9.373784430821736
135,Train,BICauseTree(Marginal),0.002244608109543883,200,9.373784430821736
136,Test,BICauseTree(Marginal),0.01844014358383636,200,9.373784430821736
137,Train,BICauseTree(Marginal),0.008081794348155286,200,9.373784430821736
138,Test,BICauseTree(Marginal),0.01666796792110603,200,9.373784430821736
139,Train,BICauseTree(Marginal),0.012915536420215673,200,9.373784430821736
